,n_fold,k,score_function,algorithm,accuracy,precision,recall,f-measure
2679,6,210,chi2,KNN,0.9840319361277445,0.9835095534564191,0.9819906752780219,0.9827413965345
2680,6,210,chi2,RandomForest,0.9866932801064537,0.988851505695237,0.9825295219169182,0.9855486327448943
2681,6,210,chi2,LogisticRegression,0.9733865602129075,0.9747202776862068,0.9677809836817366,0.9710736803208647
2682,6,210,chi2,DecisionTree,0.9833666001330672,0.982979396869245,0.9810782665188978,0.9820152063046095
2683,6,210,chi2,SimpleLogistic,0.9687292082501663,0.9706777680397312,0.961782970917568,0.965941519949048
2684,6,210,chi2,JRIP,0.8842315369261478,0.8744079262751945,0.8999570069171093,0.8801000198059021
2685,6,210,chi2,SMO-PolyKernel,0.9760479041916168,0.9772132442331369,0.9710417701685329,0.9739875389408099
2686,6,210,chi2,SMO-NormalizedPolyKernel,0.9740518962075848,0.9752388923763688,0.9686933924408606,0.9718083543306595
2687,6,210,chi2,SMO-Puk,0.9767132401862941,0.9808496639879694,0.969232239079757,0.97457360459333
2688,6,210,chi2,SMO-RBFKernel,0.9740518962075848,0.9760922481102436,0.9679156953414606,0.9717620705020895
2689,6,210,chi2,AdaBoostM1,0.9234863606121091,0.9192785973584614,0.9149042687354301,0.9170055444877074
2690,6,210,chi2,RandomCommittee,0.9840319361277445,0.9838930465267192,0.981601826728322,0.982727777671372
2691,7,210,chi2,NaiveBayes,0.7059214903526281,0.7632121442847626,0.7681426826194031,0.7058526088342603
2692,7,210,chi2,KNN,0.978709248170326,0.9787414899444401,0.9745360584847487,0.9765819456617003
2693,7,210,chi2,RandomForest,0.9900199600798403,0.9905636633238382,0.9875671430510577,0.9890372471017632
2694,7,210,chi2,LogisticRegression,0.9753825681969395,0.9728499686126805,0.9732552502472416,0.9730520511037508
2695,7,210,chi2,DecisionTree,0.9767132401862941,0.9735604773306558,0.9755715643118927,0.9745521039684786
2696,7,210,chi2,SimpleLogistic,0.9634065202927479,0.9608530528775927,0.9588512478426963,0.9598383135638304
2697,7,210,chi2,JRIP,0.8888888888888888,0.8766031457411754,0.9064515503500166,0.883885338384995
2698,7,210,chi2,SMO-PolyKernel,0.9780439121756487,0.9761502272700807,0.9757402703174387,0.9759446871849042
2699,7,210,chi2,SMO-NormalizedPolyKernel,0.9733865602129075,0.971238344988345,0.9704250615679963,0.9708294678658349
2700,7,210,chi2,SMO-Puk,0.9827012641383899,0.9845194021394876,0.9776193061723129,0.9809220007733137
2701,7,210,chi2,SMO-RBFKernel,0.9713905522288756,0.9717316536299674,0.9654472648296457,0.9684620433379123
2702,7,210,chi2,AdaBoostM1,0.9188290086493679,0.9108333397861286,0.9115360003102639,0.9111826044500244
2703,7,210,chi2,RandomCommittee,0.9853626081170991,0.9847918474728645,0.9831109775252574,0.9839423076923077
2704,8,210,chi2,NaiveBayes,0.7198935462408517,0.7729434383242348,0.7666784654800431,0.719766517492366
2705,8,210,chi2,KNN,0.980705256154358,0.9810320851987518,0.9781132011866235,0.9795309402749777
2706,8,210,chi2,RandomForest,0.9846972721224219,0.9852801519468186,0.9823354908306365,0.9837659181491202
2707,8,210,chi2,LogisticRegression,0.9720558882235529,0.9723251308544627,0.9684718851132685,0.9703249280758166
2708,8,210,chi2,DecisionTree,0.9753825681969395,0.9729799015586547,0.9751129314994607,0.9740217212063682
2709,8,210,chi2,SimpleLogistic,0.9634065202927479,0.9661504746315008,0.9565298004314995,0.9609076666182732
2710,8,210,chi2,JRIP,0.8908848968729208,0.8839002085673031,0.9033255798274002,0.8881026311488806
2711,8,210,chi2,SMO-PolyKernel,0.9720558882235529,0.9716662273103864,0.9691292475728155,0.9703651611546348
2712,8,210,chi2,SMO-NormalizedPolyKernel,0.9680638722554891,0.9694586463880638,0.9629348705501618,0.9659917562629396
2713,8,210,chi2,SMO-Puk,0.9760479041916168,0.9804349659571858,0.969407362459547,0.9743845629450083
2714,8,210,chi2,SMO-RBFKernel,0.9707252162341983,0.97268547929989,0.9654210490830637,0.9688038945600694
2715,8,210,chi2,AdaBoostM1,0.9241516966067864,0.9226565680005174,0.9161610032362459,0.9191737268147253
2716,8,210,chi2,RandomCommittee,0.9840319361277445,0.9850961865270886,0.9811387540453074,0.9830428160433238
2717,9,210,chi2,NaiveBayes,0.7218895542248835,0.7833274095136544,0.7646835835322504,0.7208663152544421
2718,9,210,chi2,KNN,0.9800399201596807,0.9800040721134269,0.9783730737019971,0.9791709011622535
2719,9,210,chi2,RandomForest,0.9873586161011311,0.9877987798779878,0.9858587498293679,0.9868044886086653
2720,9,210,chi2,LogisticRegression,0.9767132401862941,0.9781487098841802,0.9733804708339021,0.9756219631722729
2721,9,210,chi2,DecisionTree,0.9733865602129075,0.9713470206411655,0.9733850825121472,0.9723352169191408
2722,9,210,chi2,SimpleLogistic,0.9600798403193613,0.9617238939775632,0.9550804092218808,0.9581217284051522
2723,9,210,chi2,JRIP,0.9015302727877578,0.8967203058321479,0.9115747589936949,0.8997732728727661
2724,9,210,chi2,SMO-PolyKernel,0.9773785761809713,0.9780800823262363,0.9747676636500142,0.9763530522341095
2725,9,210,chi2,SMO-NormalizedPolyKernel,0.9700598802395209,0.9717786827063175,0.9658938723708823,0.9686195817336133
2726,9,210,chi2,SMO-Puk,0.9780439121756487,0.9808859223300971,0.9736562491929563,0.976959985283823
2727,9,210,chi2,SMO-RBFKernel,0.9720558882235529,0.974382465347313,0.9675568435460485,0.9706852098836064
2728,9,210,chi2,AdaBoostM1,0.914836992681304,0.9136470179216293,0.9082248359164881,0.9107134238030705
2729,9,210,chi2,RandomCommittee,0.9853626081170991,0.985015586449392,0.9844734016845538,0.9847425249169435
2730,0,210,f_classif,NaiveBayes,0.71875,0.7698853376670278,0.7763138890654158,0.7186304623284263
2731,0,210,f_classif,KNN,0.9767287234042553,0.9768344646869922,0.9723799730010264,0.9745397296780949
2732,0,210,f_classif,RandomForest,0.9867021276595744,0.9875796060822057,0.9834482041445928,0.9854574708375878
2733,0,210,f_classif,LogisticRegression,0.973404255319149,0.9721733509076516,0.9697946575925466,0.9709641298891849
2734,0,210,f_classif,DecisionTree,0.9833776595744681,0.9820910941161959,0.9816909599656447,0.9818904710644887
2735,0,210,f_classif,SimpleLogistic,0.9667553191489362,0.966481699128567,0.9608977062426942,0.963581418774941
